text,label
"This looks like a classy place to have dinner and a few cocktails with friends... We headed here for drinks after dining at Blanco. \n\nThe place was less busy than I remember, making us scoring a prime outdoor seating location possible... The seven of us enjoyed several well-made cocktails and had a very nice, attentive server.\n\nI will be back to sample their food and their renowned happy hour...",2
Best sauce on a pizza I have ever tasted.  There sandwiches are to die for....,4
"We came in here for pre-dinner drinks before hitting Sushi Roku. It was a Sunday so there were only a few other people here. Cocktails were TASTY. The atmosphere was chill and the bartender a bit chilly until he and my date started swapping bartender horror stories. By the time we left the bar we were all buddies. \n\nThis place is swank-hip and does attract a crowd largely consisting overdressed wanna-be's who take themselves WAY to seriously. While I wouldn't want to go out here and be in that environment all the time, the above clientele makes for GREAT people watching.\n\nNot a bad place, in my opinion to splurge once in a while.",2
Looks like they are applying for a liquor license...exciting!,2
"I am sold on the whole chicken and waffles thing!!!  I love LoLo's Chicken and waffles, they are by far the BEST southern food I have had.  I tried collards for the first time, on my most recent visit, fantastic!\nWay to go LoLo's!",4
"The location and atmosphere of this place is quite nice!  However, the menus we were given were all torn up at the corners, which was surprising for a pretty nice restaurant.  It definitely cheapened the place and lowered our expectations.\n\nI ordered the Watermelon Margarita and it was extremely good!  Most margarita's I had in Vegas were way too sweet, but this one was perfect.  \nWe also ordered chips and salsa - again, very good.  The chips were fresh and the salsa was spicy!\n\nOur meals (beef & chicken enchiladas) were very very bland.  After the spicy salsa with the chips and our server's warning of some spice in the meal, we were expecting something...but seriously - nope.  No spice, no flavor, bland, bland, bland.  \n\nOur server was very nice and attentive, which we found everywhere in Vegas - which is a really good thing.\n\nBut I would not go back here or recommend it to anyone going either.  Sorry!",1
"Eh- proof that horrible service will ruin any meal.  We come into this sushi place after a long hot day outside.  The server seats us and because my cousin recognizes her from her previous job at a restaurant further down the street, the server takes this as a hint to get overly friendly and comfortable.  She proceeds to tell us how this job is less stressful and that she makes more tips here (and tells us how much) b/c it's a different clientele, though she feels she never makes alot.  We've placed our order and we watch as people around us get their sushi, as well as people who come in for takeout get theirs.  Time's ticking and finally, we get the rolls we ordered, but not the sashimi...we devour the rolls and tick...tick...what seemed like an eternity later, we get the rest of our food.  The sushi itself is very fresh and good.  After we flag down the suddenly disappeared server for the check, we wait another 10-15 minutes for the check.  She proceeds to hover over us and take about how cash is better than credit cards, as we're trying to divy up the bill...so rude.  No wonder she doesn't make alot of tips...what an awful waitress.",0
"I've been dying to try this place hoping to recapture the fond memories of eating mouth watering lechon from Cebu and the famous steamed rice with pork and shrimp topping from Ding Hao. So last night I was in a spur of the moment mood and called to place an order to go. When I got there at 6 pm the place was totally empty, I thought uh oh I hope that's not an indication of inferior tasting food. Lechon, albeit the skin was crispy, the taste just wasn't there or I should say it's NOT what a normal lechon from Cebu tastes like. It needed more spices and I didn't detect the smell and taste of lemongrass which I think is a huge part of the flavor. The pork steamed rice wasn't good at all. It was too sweet and the texture was off. I really wanted to like this place so I'm very disappointed, but who knows maybe one day I might just try their other offerings.",1
"Great place to have drinks and delicious plates.  Kind of loud at times, therefore, I won't recommend it for a first date.  Service is excellent and reasonable prices.",2
"Another new concept and this time it is one that actually works mostly. If you sign up for the text club, they will send you pizza discounts and this is when you should go get your pie. I had a $7 any pizza text and decided to give it a whirl. The thing that needs improvement is that they only have one oven and it looks like only three pizzas can fit into that said oven at once. If your pizza can't fit, it sits on the messy table (in my case only 3 minutes) and it waits and waits to enter the oven and when its busy who knows what can land on that pizza with the open air arrangement. Anyway, after the pizza my way came out, it ended up pretty good. The chicken needs some improvement and the meatballs are pork and beef combined (not a fan), but I like the fact that it is the same price for anything you throw on there. The staff is kind of young and goofy also, maybe someone who looks over 21 would give the place more respectability.",2
